credit_history,credit_amount,employment,property_magnitude,age,class
'existing paid',1925,1<=X<4,'real estate',26,good
'existing paid',433,unemployed,'real estate',22,bad
'critical/other existing credit',666,4<=X<7,'real estate',39,good
'existing paid',2251,1<=X<4,car,46,good
'existing paid',2150,1<=X<4,'no known property',24,bad
'delayed previously',4151,1<=X<4,'life insurance',35,good
'existing paid',2030,4<=X<7,car,24,good
'delayed previously',7418,1<=X<4,'real estate',27,good
'critical/other existing credit',2684,1<=X<4,'real estate',35,good
'all paid',2149,1<=X<4,'no known property',29,bad
'existing paid',3812,<1,car,23,good
'critical/other existing credit',1154,unemployed,'real estate',57,good
'existing paid',1657,1<=X<4,'real estate',27,good
'existing paid',1603,>=7,car,55,good
'critical/other existing credit',5302,>=7,'no known property',36,good
'critical/other existing credit',2748,>=7,'no known property',57,good
'critical/other existing credit',1231,>=7,'real estate',32,good
'existing paid',802,>=7,car,37,bad
'critical/other existing credit',6304,>=7,'real estate',36,good
'existing paid',1533,<1,car,38,good
'existing paid',8978,>=7,'life insurance',45,bad
'existing paid',999,>=7,car,25,good
'existing paid',2662,4<=X<7,'life insurance',32,good
'critical/other existing credit',1402,4<=X<7,car,37,good
'all paid',12169,unemployed,'no known property',36,good
'existing paid',3060,4<=X<7,'real estate',28,bad
'existing paid',11998,<1,'no known property',34,bad
'existing paid',2697,1<=X<4,'real estate',32,good
'critical/other existing credit',2404,1<=X<4,car,26,good
'existing paid',1262,>=7,'life insurance',49,good
'existing paid',4611,<1,'life insurance',32,bad
'existing paid',1901,1<=X<4,car,29,good
'critical/other existing credit',3368,>=7,'no known property',23,good
'existing paid',1574,1<=X<4,'real estate',50,good
'all paid',1445,4<=X<7,car,49,good
'critical/other existing credit',1520,>=7,'life insurance',63,good
'critical/other existing credit',3878,<1,car,37,good
'existing paid',10722,<1,'real estate',35,good
'existing paid',4788,4<=X<7,'life insurance',26,good
'delayed previously',7582,unemployed,'no known property',31,good
'existing paid',1092,1<=X<4,'real estate',49,good
'delayed previously',1024,<1,'real estate',48,bad
'existing paid',1076,1<=X<4,'real estate',26,good
'existing paid',9398,<1,car,28,bad
'critical/other existing credit',6419,>=7,'no known property',44,good
'critical/other existing credit',4796,>=7,'no known property',56,good
'critical/other existing credit',7629,>=7,car,46,good
'existing paid',9960,<1,car,26,bad
'existing paid',4675,<1,car,20,good
'existing paid',1287,>=7,'life insurance',45,good
'existing paid',2515,1<=X<4,'real estate',43,good
'critical/other existing credit',2745,4<=X<7,car,32,good
'existing paid',672,unemployed,'real estate',54,good
'no credits/all paid',3804,1<=X<4,car,42,bad
'critical/other existing credit',1344,4<=X<7,'real estate',37,bad
'critical/other existing credit',1038,4<=X<7,'life insurance',49,good
'critical/other existing credit',10127,1<=X<4,'no known property',44,bad
'existing paid',1543,1<=X<4,'real estate',33,good
'existing paid',4811,4<=X<7,'life insurance',24,good
'existing paid',727,<1,'no known property',33,bad
'existing paid',1237,1<=X<4,'real estate',24,bad
'existing paid',276,1<=X<4,'real estate',22,good
'existing paid',5381,unemployed,'no known property',40,good
'existing paid',5511,1<=X<4,car,25,good
'existing paid',3749,<1,car,26,good
'existing paid',685,4<=X<7,car,25,bad
'existing paid',1494,<1,'real estate',29,good
'all paid',2746,>=7,car,31,bad
'existing paid',708,1<=X<4,'life insurance',38,good
'existing paid',4351,1<=X<4,'life insurance',48,good
'critical/other existing credit',701,1<=X<4,car,32,good
'delayed previously',3643,>=7,'life insurance',27,good
'critical/other existing credit',4249,unemployed,car,28,bad
'existing paid',1938,<1,'life insurance',32,bad
'existing paid',2910,4<=X<7,'no known property',34,good
'existing paid',2659,1<=X<4,car,28,good
'critical/other existing credit',1028,1<=X<4,'real estate',36,good
'critical/other existing credit',3398,4<=X<7,'real estate',39,good
'critical/other existing credit',5801,>=7,'life insurance',49,good
'existing paid',1525,4<=X<7,car,34,good
'existing paid',4473,>=7,car,31,good
'existing paid',1068,>=7,car,28,good
'critical/other existing credit',6615,unemployed,'no known property',75,good
'critical/other existing credit',1864,1<=X<4,'real estate',30,bad
'existing paid',7408,<1,'life insurance',24,bad
'critical/other existing credit',11590,1<=X<4,car,24,bad
'no credits/all paid',4110,>=7,'no known property',23,bad
'critical/other existing credit',3384,1<=X<4,'real estate',44,bad
'existing paid',2101,<1,'life insurance',23,good
'existing paid',1275,1<=X<4,car,24,bad
'existing paid',4169,1<=X<4,'life insurance',28,good
'existing paid',1521,1<=X<4,car,31,good
'critical/other existing credit',5743,<1,'no known property',24,good
'existing paid',3599,4<=X<7,car,26,good
'existing paid',3213,<1,'real estate',25,good
'existing paid',4439,>=7,'real estate',33,good
'existing paid',3949,<1,'life insurance',37,good
'critical/other existing credit',1459,1<=X<4,car,43,good
'critical/other existing credit',882,<1,'real estate',23,good
'existing paid',3758,unemployed,'no known property',23,good
'delayed previously',1743,1<=X<4,'real estate',34,good
'critical/other existing credit',1136,>=7,'no known property',32,bad
'existing paid',1236,<1,'real estate',23,good
'existing paid',959,1<=X<4,car,29,bad
'critical/other existing credit',3229,unemployed,'no known property',38,good
'no credits/all paid',6199,1<=X<4,'life insurance',28,bad
'existing paid',727,>=7,'no known property',46,good
'existing paid',1246,<1,'real estate',23,bad
'critical/other existing credit',2331,>=7,'real estate',49,good
'delayed previously',4463,1<=X<4,car,26,bad
'existing paid',776,1<=X<4,'real estate',28,good
'existing paid',2406,4<=X<7,'real estate',23,bad
'existing paid',1239,1<=X<4,'no known property',61,good
'existing paid',3399,>=7,car,37,good
'delayed previously',2247,1<=X<4,car,36,good
'existing paid',1766,1<=X<4,'life insurance',21,good
'existing paid',2473,unemployed,car,25,bad
'existing paid',1542,4<=X<7,car,36,good
'critical/other existing credit',3850,4<=X<7,car,27,good
'existing paid',3650,<1,car,22,good
'existing paid',3446,>=7,car,42,bad
'existing paid',3001,4<=X<7,'real estate',40,good
'existing paid',3079,1<=X<4,'real estate',36,good
'critical/other existing credit',6070,>=7,car,33,good
'critical/other existing credit',2146,<1,'real estate',23,good
'critical/other existing credit',13756,>=7,'no known property',63,good
'all paid',14782,>=7,'no known property',60,bad
'all paid',7685,4<=X<7,car,37,bad
'delayed previously',2320,unemployed,'real estate',34,good
'delayed previously',846,>=7,'no known property',36,good
'existing paid',14318,>=7,'no known property',57,bad
'critical/other existing credit',362,1<=X<4,car,52,good
'existing paid',2212,4<=X<7,car,39,good
'existing paid',12976,unemployed,'no known property',38,bad
'existing paid',1283,4<=X<7,'life insurance',25,good
'existing paid',1330,<1,'real estate',26,good
'delayed previously',4272,1<=X<4,'life insurance',26,good
'critical/other existing credit',2238,1<=X<4,car,25,good
'existing paid',1126,<1,'real estate',21,good
'critical/other existing credit',7374,unemployed,'life insurance',40,good
'critical/other existing credit',2326,1<=X<4,car,27,good
'existing paid',1449,4<=X<7,car,27,good
'existing paid',1820,1<=X<4,'life insurance',30,good
'existing paid',983,<1,'real estate',19,good
'existing paid',3249,4<=X<7,'no known property',39,good
'critical/other existing credit',1957,4<=X<7,car,31,good
'critical/other existing credit',2406,unemployed,car,31,good
'delayed previously',11760,4<=X<7,'no known property',32,good
'existing paid',2578,unemployed,'no known property',55,good
'critical/other existing credit',2348,1<=X<4,'life insurance',46,good
'existing paid',1223,>=7,'real estate',46,bad
'critical/other existing credit',1516,1<=X<4,'real estate',43,good
'existing paid',1473,<1,'real estate',39,good
'critical/other existing credit',1887,1<=X<4,'real estate',28,good
'delayed previously',8648,<1,car,27,bad
'delayed previously',802,1<=X<4,car,27,good
'delayed previously',2899,>=7,car,43,good
'existing paid',2039,<1,'life insurance',22,bad
'critical/other existing credit',2197,4<=X<7,car,43,good
'existing paid',1053,<1,'real estate',27,good
'existing paid',3235,>=7,car,26,good
'critical/other existing credit',939,4<=X<7,'real estate',28,bad
'existing paid',1967,>=7,car,20,good
'critical/other existing credit',7253,4<=X<7,car,35,good
'critical/other existing credit',2292,unemployed,car,42,bad
'existing paid',1597,1<=X<4,'no known property',40,good
'existing paid',1381,1<=X<4,'life insurance',35,bad
'critical/other existing credit',5842,>=7,'life insurance',35,good
'existing paid',2579,<1,'real estate',33,bad
'delayed previously',8471,1<=X<4,car,23,good
'existing paid',2782,4<=X<7,car,31,good
'existing paid',1042,1<=X<4,'life insurance',33,bad
'existing paid',3186,4<=X<7,car,20,good
'existing paid',2028,1<=X<4,car,30,good
'critical/other existing credit',958,4<=X<7,'real estate',47,good
'delayed previously',1591,4<=X<7,'real estate',34,good
'existing paid',2762,>=7,'life insurance',25,bad
'existing paid',2779,1<=X<4,car,21,good
'critical/other existing credit',2743,>=7,car,29,good
'critical/other existing credit',1149,1<=X<4,'real estate',46,good
'existing paid',1313,>=7,car,20,good
'critical/other existing credit',1190,unemployed,'no known property',55,bad
'existing paid',3448,4<=X<7,'real estate',74,good
'existing paid',11328,1<=X<4,car,29,bad
'critical/other existing credit',1872,unemployed,'no known property',36,good
'critical/other existing credit',2058,1<=X<4,'real estate',33,good
'existing paid',2136,1<=X<4,'real estate',25,good
'existing paid',1484,1<=X<4,'real estate',25,bad
'existing paid',660,4<=X<7,'real estate',23,good
'critical/other existing credit',1287,>=7,'real estate',37,good
'critical/other existing credit',3394,unemployed,car,65,good
'all paid',609,<1,'real estate',26,bad
'existing paid',1884,>=7,car,39,good
'existing paid',1620,1<=X<4,'life insurance',30,good
'delayed previously',2629,1<=X<4,car,29,good
'existing paid',719,>=7,car,41,bad
'critical/other existing credit',5096,1<=X<4,car,30,bad
'critical/other existing credit',1244,>=7,'life insurance',41,good
'existing paid',1842,<1,car,34,bad
'existing paid',2576,1<=X<4,'real estate',35,good
'existing paid',1424,>=7,'real estate',55,good
'delayed previously',1512,1<=X<4,'life insurance',61,bad
'critical/other existing credit',11054,1<=X<4,car,30,good
'existing paid',518,1<=X<4,'real estate',29,good
'no credits/all paid',2759,>=7,'life insurance',34,good
'existing paid',2670,>=7,car,35,good
'existing paid',4817,4<=X<7,'life insurance',31,bad
'existing paid',2679,<1,'no known property',29,good
'critical/other existing credit',3905,1<=X<4,'real estate',36,good
'existing paid',3386,>=7,'no known property',35,bad
'existing paid',343,<1,'real estate',27,good
'existing paid',4594,<1,car,32,good
'existing paid',3620,1<=X<4,'life insurance',37,good
'existing paid',1721,<1,'real estate',36,good
'existing paid',3017,<1,'real estate',34,good
'existing paid',754,>=7,'life insurance',38,good
'existing paid',1950,4<=X<7,car,34,good
'existing paid',2924,1<=X<4,'no known property',63,good
'delayed previously',1659,<1,car,29,bad
'delayed previously',7238,>=7,car,32,good
'delayed previously',2764,1<=X<4,car,26,good
'delayed previously',4679,4<=X<7,car,35,good
'existing paid',3092,<1,car,22,bad
'existing paid',448,<1,'life insurance',23,bad
'existing paid',654,1<=X<4,car,28,bad
'existing paid',1238,unemployed,'life insurance',36,good
'critical/other existing credit',1245,1<=X<4,car,33,bad
'no credits/all paid',3114,<1,'life insurance',26,bad
'existing paid',2569,1<=X<4,car,24,good
'existing paid',5152,4<=X<7,car,25,good
'existing paid',1037,4<=X<7,'real estate',39,good
'critical/other existing credit',1478,>=7,car,44,good
'critical/other existing credit',3573,1<=X<4,'real estate',23,good
'existing paid',1201,<1,'life insurance',26,good
'existing paid',3622,>=7,'life insurance',57,good
'delayed previously',960,4<=X<7,'life insurance',30,good
'critical/other existing credit',1163,1<=X<4,'real estate',44,good
'delayed previously',1209,unemployed,'life insurance',47,bad
'existing paid',3077,1<=X<4,car,52,good
'existing paid',3757,>=7,'no known property',62,good
'existing paid',1418,1<=X<4,'real estate',35,good
'existing paid',3518,1<=X<4,'life insurance',26,good
'critical/other existing credit',1934,>=7,'no known property',26,good
'no credits/all paid',8318,>=7,'no known property',42,bad
'critical/other existing credit',1237,1<=X<4,'life insurance',27,good
'existing paid',368,>=7,'life insurance',38,good
'critical/other existing credit',2122,1<=X<4,'real estate',39,good
'existing paid',2996,1<=X<4,car,20,bad
'existing paid',9034,<1,'no known property',29,bad
'critical/other existing credit',1585,4<=X<7,'life insurance',40,good
'existing paid',1301,>=7,'real estate',32,good
'critical/other existing credit',1323,>=7,car,28,good
'existing paid',3123,<1,'life insurance',27,bad
'existing paid',5493,>=7,'no known property',42,good
'existing paid',1126,>=7,'real estate',49,good
'critical/other existing credit',1216,<1,'no known property',38,bad
'existing paid',1207,<1,'life insurance',24,bad
'existing paid',1309,1<=X<4,'life insurance',27,bad
'critical/other existing credit',2360,1<=X<4,car,36,good
'all paid',6850,unemployed,'life insurance',34,bad
'existing paid',1413,1<=X<4,'life insurance',28,good
'existing paid',8588,>=7,car,45,good
'existing paid',759,4<=X<7,'real estate',26,bad
'existing paid',4686,1<=X<4,'no known property',32,good
'existing paid',2687,4<=X<7,'life insurance',26,good
'delayed previously',585,1<=X<4,'real estate',20,good
'existing paid',2255,<1,'life insurance',54,good
'critical/other existing credit',609,4<=X<7,'life insurance',37,good
'critical/other existing credit',1361,<1,'real estate',40,good
'critical/other existing credit',7127,<1,'life insurance',23,bad
'existing paid',1203,>=7,'life insurance',43,good
'critical/other existing credit',700,>=7,'no known property',36,good
'critical/other existing credit',5507,>=7,'no known property',44,good
'existing paid',3190,1<=X<4,'real estate',24,bad
'no credits/all paid',7119,1<=X<4,'no known property',53,bad
'existing paid',3488,4<=X<7,car,23,good
'existing paid',1113,1<=X<4,'real estate',26,good
'existing paid',7966,<1,car,30,good
'critical/other existing credit',1532,1<=X<4,car,31,good
'critical/other existing credit',1503,4<=X<7,'real estate',42,good
'existing paid',2302,1<=X<4,car,31,bad
'existing paid',662,<1,'real estate',41,good
'existing paid',2273,4<=X<7,car,32,good
'existing paid',2631,1<=X<4,car,28,bad
'delayed previously',1503,1<=X<4,'real estate',41,good
'existing paid',1311,4<=X<7,'life insurance',26,good
'existing paid',3105,<1,car,25,good
'critical/other existing credit',2319,<1,car,33,bad
'existing paid',1374,unemployed,'life insurance',75,good
'critical/other existing credit',3612,>=7,'life insurance',37,good
'existing paid',7763,>=7,'no known property',42,bad
'existing paid',3049,<1,'life insurance',45,good
'existing paid',1534,<1,'real estate',23,bad
'delayed previously',2032,>=7,'no known property',60,good
'existing paid',6350,>=7,'life insurance',31,bad
'existing paid',2864,1<=X<4,'real estate',34,bad
'critical/other existing credit',1255,>=7,'real estate',61,good
'delayed previously',1333,unemployed,'real estate',43,bad
'critical/other existing credit',2022,1<=X<4,car,37,good
'existing paid',1552,4<=X<7,car,32,good
'all paid',626,1<=X<4,'real estate',24,bad
'critical/other existing credit',8858,4<=X<7,'no known property',35,good
'critical/other existing credit',996,4<=X<7,'real estate',23,good
'all paid',1750,>=7,'life insurance',45,good
'existing paid',6999,4<=X<7,'real estate',34,bad
'critical/other existing credit',1995,<1,car,27,good
'existing paid',1199,4<=X<7,'life insurance',67,good
'existing paid',1331,<1,car,22,bad
'no credits/all paid',2278,<1,car,28,bad
'no credits/all paid',5003,1<=X<4,'life insurance',29,bad
'all paid',3552,4<=X<7,car,27,bad
'critical/other existing credit',1928,<1,'real estate',31,bad
'existing paid',2964,>=7,'no known property',49,good
'all paid',1546,4<=X<7,car,24,bad
'delayed previously',683,<1,'life insurance',29,good
'existing paid',12389,1<=X<4,'no known property',37,bad
'delayed previously',4712,1<=X<4,'life insurance',37,good
'delayed previously',1553,4<=X<7,'life insurance',23,good
'existing paid',1372,4<=X<7,car,36,bad
'critical/other existing credit',2578,>=7,car,34,good
'existing paid',3979,4<=X<7,car,41,good
'existing paid',6758,1<=X<4,car,31,bad
'existing paid',3234,<1,'real estate',23,bad
'critical/other existing credit',5954,4<=X<7,car,38,good
'existing paid',5433,unemployed,'life insurance',26,good
'existing paid',806,1<=X<4,'life insurance',22,good
'existing paid',1082,>=7,car,27,good
'critical/other existing credit',2788,4<=X<7,car,24,good
'existing paid',2930,4<=X<7,'real estate',27,good
